Harga,Tahun,Jarak_km,CC_mid,Usia_mobil,Merek,Model,Varian,Tipe bahan bakar,Transmisi,Tipe bodi,Sistem Penggerak,Warna,Tipe Penjual,KotaKab,Provinsi,Nama Bursa Mobil
215000000.0,2013.0,292500.0,,12.0,Mercedes-Benz,C-Class,C200,Bensin,Automatic,Sedan,4X2,Hitam,nan,Jakarta Selatan,Jakarta D.K.I.,nan
98000000.0,1996.0,157500.0,3000.0,29.0,Hino,Ranger,Lain-lain,Diesel,Manual,Truk,Rear Wheel Drive (RWD),Hijau,Individu,Bekasi Kota,Jawa Barat,nan
625000000.0,2016.0,97500.0,,9.0,Isuzu,Lain-lain,nan,Diesel,Manual,nan,nan,Merah,nan,Bojonegoro Kab.,Jawa Timur,nan
250000000.0,2010.0,62500.0,2500.0,15.0,BMW,Serie 5,530i E60 Facelift L6 3.0,Bensin,Automatic Triptonic,Sedan,4X2,Silver,Individu,Surabaya Kota,Jawa Timur,nan
775000000.0,2017.0,12500.0,2500.0,8.0,BMW,X3,xDrive20i xLine,Bensin,Automatic,SUV,All Wheel Drive (AWD),Hitam,Diler,Jakarta Selatan,Jakarta D.K.I.,Bursa Mobil Bintaro
230000000.0,2017.0,27500.0,1250.0,8.0,Chevrolet,Trax,LTZ,Bensin,Automatic Triptonic,Minibus,Front Wheel Drive (FWD),Coklat,Individu,Tangerang Selatan Kota,Banten,nan
41000000.0,2003.0,152500.0,1000.0,22.0,Hyundai,Atoz,GLS,Bensin,Automatic,Compact & City Car,4X2,Merah,Individu,Cirebon Kab.,Jawa Barat,nan
90000000.0,2008.0,87500.0,1250.0,17.0,Nissan,Grand livina,Lain-lain,Bensin,Automatic,MPV,Front Wheel Drive (FWD),Emas,Diler,Surabaya Kota,Jawa Timur,Bursa Mobil BG Junction Surabaya
130000000.0,2012.0,32500.0,2500.0,13.0,Isuzu,Lain-lain,Lain-lain,Diesel,Manual,Truk,4X4,Putih,Individu,Wonosobo Kab.,Jawa Tengah,Carsentro Semarang
235000000.0,2010.0,52500.0,1750.0,15.0,BMW,X1,sDrive20d,Diesel,Automatic,nan,4X2,Silver,Diler,Bandung Kota,Jawa Barat,nan
125000000.0,2011.0,62500.0,1750.0,14.0,Suzuki,Grand vitara,Lain-lain,Bensin,Automatic,SUV,Front Wheel Drive (FWD),Hitam,Individu,Jakarta Selatan,Jakarta D.K.I.,nan
165000000.0,2018.0,7500.0,1250.0,7.0,Suzuki,Ertiga,GX,Bensin,Manual,Minibus,4X2,Putih,nan,Makassar Kota,Sulawesi Selatan,nan
167000000.0,2012.0,97500.0,2500.0,13.0,Ford,Ranger,XLT,Diesel,Manual,Double Cabin,4X4,Hitam,Individu,Medan Kota,Sumatra Utara,nan
1175000000.0,2015.0,2500.0,,10.0,Maserati,Ghibli,Lain-lain,Bensin,Automatic Triptonic,Sedan,nan,Hitam,Diler,Jakarta Pusat,Jakarta D.K.I.,Bursa Otomotif Sunter
111000000.0,2004.0,152500.0,2500.0,21.0,Ford,Everest,XLT,Diesel,Manual,Jeep,4X2,Silver,Individu,Jombang  Kab.,Jawa Timur,nan
865000000.0,2010.0,37500.0,2500.0,15.0,Land Rover,Range Rover Sport,HSE,Diesel,Automatic Triptonic,SUV,4X4,Hitam,Diler,Surabaya Kota,Jawa Timur,nan
118000000.0,2010.0,92500.0,1250.0,15.0,Daihatsu,Terios,TX,Bensin,Manual,Minibus,4X2,Silver,Individu,Banyumas Kab.,Jawa Tengah,nan
134500000.0,2010.0,62500.0,1750.0,15.0,Honda,Civic,1.8L,Bensin,Manual,Sedan,nan,Silver,nan,Bandung Kota,Jawa Barat,nan
180000000.0,,102500.0,2500.0,,Land Rover,Discovery,Lain-lain,Bensin,Manual,Offroad,4X4,Biru,Individu,Bandung Kota,Jawa Barat,nan
98000000.0,2012.0,157500.0,1250.0,13.0,Daihatsu,Xenia,R 1.3 Sporty,Bensin,Automatic,Minibus,Rear Wheel Drive (RWD),Putih,Individu,Bekasi Kota,Jawa Barat,nan
138000000.0,2012.0,67500.0,2500.0,13.0,Isuzu,Panther,LV,Diesel,Manual,MPV,Front Wheel Drive (FWD),Hitam,Diler,Surabaya Kota,Jawa Timur,Bursa Mobil DTC
